STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/4/13,0,0,0,52,41,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/5/13,0.01,0,0,60,48,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/6/13,0.73,0,0,62,37,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/7/13,0.14,0,0,41,32,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/8/13,0.08,0,0.7,33,29,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/9/13,0.3,0,0,39,31,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/10/13,0.23,0,1.4,37,30,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/11/13,0,0,0,33,27,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/12/13,0,0,0,30,23,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/13/13,0,0,0,35,23,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/14/13,0.73,0,5,34,22,10.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/15/13,0.72,3.1,0,40,30,8.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/16/13,0,3.1,0,33,25,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/17/13,0.19,3.1,1.5,32,24,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/18/13,0,3.9,0,37,23,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/19/13,0,3.1,0,47,30,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/20/13,0,3.1,0,53,41,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/21/13,0.01,1.2,0,65,51,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/22/13,0,0,0,71,61,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/23/13,0.51,0,0,64,42,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/24/13,0,0,0,42,26,8.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/25/13,0,0,0,31,19,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/26/13,0,0,0,36,30,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/27/13,0,0,0,40,31,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/28/13,0,0,0,55,36,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/29/13,1.2,0,0,48,41,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/30/13,0,0,0,45,23,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/31/13,0,0,0,32,21,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/1/14,0,0,0,33,24,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/2/14,0.33,0,3.1,33,18,12.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/3/14,0.29,5.9,3.3,18,9,10.5
